jahr,bezirk,ortsteil,leitung16,leitung50
2012,"Lichtenberg","Karlshorst",93,81
2012,"Lichtenberg","Lichtenberg",92,74
2012,"Lichtenberg","Malchow",79,70
2012,"Lichtenberg","Neu-Hohenschönhausen",95,92
2012,"Lichtenberg","Rummelsburg",94,68
2012,"Lichtenberg","Wartenberg",85,72
2012,"Marzahn-Hellersdorf","Biesdorf",96,70
2012,"Marzahn-Hellersdorf","Hellersdorf",99,88
2012,"Marzahn-Hellersdorf","Kaulsdorf",96,69
2012,"Marzahn-Hellersdorf","Mahlsdorf",89,57
2012,"Marzahn-Hellersdorf","Marzahn",97,77
2012,"Mitte","Gesundbrunnen",98,87
2012,"Mitte","Hansaviertel",99,92
2012,"Mitte","Mitte",97,89
2012,"Mitte","Moabit",98,92
2012,"Mitte","Tiergarten",98,85
2012,"Mitte","Wedding",98,92
2012,"Neukölln","Britz",95,81
2012,"Neukölln","Buckow",98,80
2012,"Neukölln","Gropiusstadt",97,79
2012,"Neukölln","Neukölln",99,91
2012,"Neukölln","Rudow",94,73
2012,"Pankow","Blankenburg",74,44
2012,"Pankow","Blankenfelde",44,6
2012,"Pankow","Buch",84,65
2012,"Pankow","Französisch Buchholz",92,58
2012,"Pankow","Heinersdorf",98,61
2012,"Pankow","Karow",39,19
2012,"Pankow","Niederschönhausen",86,70
2012,"Pankow","Pankow",99,84
2012,"Pankow","Prenzlauer Berg",98,93
2012,"Pankow","Rosenthal",85,53
2012,"Pankow","Stadtrandsiedlung Malchow",84,13
2012,"Pankow","Weißensee",96,73
2012,"Pankow","Wilhelmsruh",97,92
2012,"Reinickendorf","Frohnau",97,72
2012,"Reinickendorf","Heiligensee",96,67
2012,"Reinickendorf","Hermsdorf",98,75
2012,"Reinickendorf","Konradshöhe",95,75
2012,"Reinickendorf","Lübars",98,68
2012,"Reinickendorf","Märkisches Viertel",97,70
2012,"Reinickendorf","Reinickendorf",98,88
2012,"Reinickendorf","Tegel",95,81
2012,"Reinickendorf","Waldmannslust",100,86
2012,"Reinickendorf","Wittenau",99,82
2012,"Spandau","Falkenhagener Feld",97,80
2012,"Spandau","Gatow",80,67
2012,"Spandau","Hakenfelde",90,79
2012,"Spandau","Haselhorst",98,84
2012,"Spandau","Kladow",66,62
2012,"Spandau","Siemensstadt",95,79
2012,"Spandau","Spandau",99,91
2012,"Spandau","Staaken",94,73
2012,"Spandau","Wilhelmsstadt",99,87
2012,"Steglitz-Zehlendorf","Dahlem",92,74
2012,"Steglitz-Zehlendorf","Lankwitz",100,86
2012,"Steglitz-Zehlendorf","Lichterfelde",96,78
2012,"Steglitz-Zehlendorf","Nikolassee",93,67
2012,"Steglitz-Zehlendorf","Steglitz",100,93
2012,"Steglitz-Zehlendorf","Wannsee",96,73
2012,"Steglitz-Zehlendorf","Zehlendorf",97,77
2012,"Tempelhof-Schöneberg","Friedenau",100,94
2012,"Tempelhof-Schöneberg","Lichtenrade",97,78
2012,"Tempelhof-Schöneberg","Mariendorf",98,87
2012,"Tempelhof-Schöneberg","Marienfelde",96,82
2012,"Tempelhof-Schöneberg","Schöneberg",99,89
2012,"Tempelhof-Schöneberg","Tempelhof",99,90
2012,"Treptow-Köpenick","Adlershof",99,88
2012,"Treptow-Köpenick","Altglienicke",93,64
2012,"Treptow-Köpenick","Alt-Treptow",99,94
2012,"Treptow-Köpenick","Baumschulenweg",92,84
2012,"Treptow-Köpenick","Bohnsdorf",92,59
2012,"Treptow-Köpenick","Friedrichshagen",96,83
2012,"Treptow-Köpenick","Grünau",98,76
2012,"Treptow-Köpenick","Johannistal",97,80
2012,"Treptow-Köpenick","Köpenick",95,78
2012,"Treptow-Köpenick","Müggelheim",79,5
2012,"Treptow-Köpenick","Niederschöneweide",99,73
2012,"Treptow-Köpenick","Oberschöneweide",98,90
2012,"Treptow-Köpenick","Plänterwald",99,80
2012,"Treptow-Köpenick","Rahnsdorf",87,5
