date,type,value
2018-06-01,req,0.4868421052631579
2018-06-01,reql,0.8032786885245902
2018-05-01,req,0.26973684210526316
2018-05-01,reql,0.5342465753424658
2018-04-01,req,0.26288274831964153
2018-04-01,reql,0.463768115942029
2018-03-01,reql,0.49382716049382713
2018-03-01,req,0.437125748502994
2018-02-01,req,0.2933634992458522
2018-02-01,reql,0.4675324675324675
2018-01-01,reql,0.39285714285714285
2018-01-01,req,0.2907153729071537
2017-12-01,req,0.3532608695652174
2017-12-01,reql,0.417910447761194
2017-11-01,reql,0.3384615384615385
2017-11-01,req,0.2663000785545954
2017-10-01,req,0.2616600790513834
2017-10-01,reql,0.3225806451612903
2017-09-01,req,0.3410728582866293
2017-09-01,reql,0.36538461538461536
2017-08-01,req,0.2437043054427295
2017-08-01,reql,0.2682926829268293
2017-07-01,reql,0.42857142857142855
2017-07-01,req,0.254278728606357
2017-06-01,reql,0.44680851063829785
2017-06-01,req,0.37919737919737917
2017-05-01,reql,0.38636363636363635
2017-05-01,req,0.2532894736842105
2017-04-01,reql,0.4186046511627907
2017-04-01,req,0.24152191894127378
2017-03-01,req,0.42355889724310775
2017-03-01,reql,0.45652173913043476
2017-02-01,req,0.2707460184409053
2017-02-01,reql,0.2708333333333333
2017-01-01,req,0.2753988245172124
2017-01-01,reql,0.3076923076923077
2016-12-01,reql,0.34545454545454546
2016-12-01,req,0.28378378378378377
2016-11-01,reql,0.3333333333333333
2016-11-01,req,0.2215568862275449
2016-10-01,req,0.20481927710843373
2016-10-01,reql,0.38095238095238093
2016-09-01,reql,0.3584905660377358
2016-09-01,req,0.29015544041450775
2016-08-01,reql,0.28
2016-08-01,req,0.20209059233449478
2016-07-01,reql,0.12280701754385964
2016-07-01,req,0.19824561403508772
2016-06-01,reql,0.2564102564102564
2016-06-01,req,0.2906057945566286
2016-05-01,reql,0.26666666666666666
2016-05-01,req,0.2404274265360641
2016-04-01,reql,0.375
2016-04-01,req,0.22291853178155774
2016-03-01,reql,0.22413793103448276
2016-03-01,req,0.3838475499092559
2016-02-01,reql,0.16666666666666666
2016-02-01,req,0.28703703703703703
2016-01-01,req,0.1958762886597938
2016-01-01,reql,0.13392857142857142
2015-12-01,req,0.20300751879699247
2015-12-01,reql,0.12389380530973451
2015-11-01,req,0.15736040609137056
2015-11-01,reql,0.2972972972972973
2015-10-01,reql,0.1891891891891892
2015-10-01,req,0.14300306435137897
2015-09-01,req,0.21457905544147843
2015-09-01,reql,0.2702702702702703
2015-08-01,req,0.14742268041237114
2015-08-01,reql,0.2564102564102564
2015-07-01,reql,0.23076923076923078
2015-07-01,req,0.15718717683557393
2015-06-01,reql,0.3220338983050847
2015-06-01,req,0.2924037460978148
2015-05-01,reql,0.2923076923076923
2015-05-01,req,0.1705020920502092
2015-04-01,reql,0.3384615384615385
2015-04-01,req,0.1694736842105263
2015-03-01,reql,0.3194444444444444
2015-03-01,req,0.27771911298838436
2015-02-01,reql,0.2127659574468085
2015-02-01,req,0.18349619978284473
2015-01-01,reql,0.1
2015-01-01,req,0.16043956043956045
2014-12-01,reql,0.12195121951219512
2014-12-01,req,0.22591362126245848
2014-11-01,reql,0.15625
2014-11-01,req,0.16349384098544234
2014-10-01,reql,0.14285714285714285
2014-10-01,req,0.1690929451287794
2014-09-01,reql,0.3125
2014-09-01,req,0.32994350282485874
2014-08-01,reql,0.3333333333333333
2014-08-01,req,0.23723041997729852
2014-07-01,reql,0.36231884057971014
2014-07-01,req,0.23636363636363636
2014-06-01,req,0.2674285714285714
2014-06-01,reql,0.3918918918918919
2014-05-01,reql,0.17634854771784234
2014-05-01,req,0.18181818181818182
2014-04-01,req,0.13142174432497014
2014-04-01,reql,0.1343612334801762
2014-03-01,reql,0.3479212253829322
2014-03-01,req,0.27951807228915665
2014-02-01,reql,0.16294642857142858
2014-02-01,req,0.16014669926650366
2014-01-01,reql,0.13157894736842105
2014-01-01,req,0.15270935960591134
2013-12-01,reql,0.2
2013-12-01,req,0.17839195979899497
2013-11-01,reql,0.18181818181818182
2013-11-01,req,0.13043478260869565
2013-10-01,reql,0.14285714285714285
2013-10-01,req,0.14652956298200515
2013-09-01,reql,0.14285714285714285
2013-09-01,req,0.17098445595854922
2013-08-01,reql,0.15873015873015872
2013-08-01,req,0.13812154696132597
2013-07-01,reql,0.18333333333333332
2013-07-01,req,0.14084507042253522
2013-06-01,reql,0.24615384615384617
2013-06-01,req,0.3096590909090909
2013-05-01,req,0.06230529595015576
2013-05-01,reql,0.13513513513513514
2013-04-01,req,0.06289308176100629
2013-04-01,reql,0.13157894736842105
