,ministry,absolute,percentage
0,Sen. Inneres und Sport,1545,21.9%
1,"Sen. Umwelt, Verkehr und Klimaschutz",1285,18.2%
2,"Sen. Bildung, Jugend und Familie",1165,16.5%
3,Sonstige,658,9.3%
4,Sen. Stadtentwicklung und Wohnen,610,8.7%
5,"Sen. Integration, Arbeit und Soziales",477,6.8%
6,Sen. Finanzen,412,5.8%
7,"Sen. Justiz, Verbraucherschutz und Antidiskriminierung",391,5.5%
8,"Sen. Gesundheit, Pflege und Gleichstellung",254,3.6%
9,Regierender Bürgermeister,249,3.5%
