,ministry,absolute,percentage
0,Sen. Stadtentwicklung und Umwelt (WP17),2296,24.7%
1,Sen. Inneres und Sport,1995,21.5%
2,"Sen. Bildung, Jugend und Wissenschaft (WP17)",1574,16.9%
3,Sen. Gesundheit und Soziales (WP17),912,9.8%
4,Sen. Finanzen,533,5.7%
5,"Sen. Justiz, Verbraucherschutz und Antidiskriminierung",524,5.6%
6,Regierender Bürgermeister,486,5.2%
7,"Sen. Arbeit, Integration und Frauen",403,4.3%
8,"Sen. Wirtschaft, Technolgie und Forschung (WP17)",354,3.8%
9,Sonstige,211,2.3%
