id,t1_mean,t1_median,t2_mean,t2_median,t3_mean,t3_median,t4_mean,t4_median,t5_mean,t5_median,t6_mean,t6_median,t7_mean,t7_median,t8_mean,t8_median,t9_mean,t9_median,t10_mean,t10_median,t11_mean,t11_median,t12_mean,t12_median
655,0,0,0,0,0,0,0.4,0,0.3333333333333333,0,0.2857142857142857,0,0.25,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
657,0,0,13.333333333333334,0,15.75,11.5,15.8,16,15.666666666666666,15.5,16.428571428571427,16,15.5,15.5,15,15,14.3,13,14,11,13.583333333333334,11,13.153846153846153,11
658,0.5,0.5,0.3333333333333333,0,0.5,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
659,19.5,19.5,14,18,13.5,15,12,12,10.333333333333334,9,9.285714285714286,6,8.25,4.5,7.444444444444445,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
662,0,0,0,0,0.5,0,1.2,0,1.1666666666666667,0.5,1.1428571428571428,1,1.125,1,1.2222222222222223,1,1.3,1,1.2727272727272727,1,1.25,1,1.4615384615384615,1
664,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN
665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,NaN,NaN,NaN,NaN
669,21.5,21.5,15.333333333333334,21,13,13.5,10.8,6,9.333333333333334,4.5,8.285714285714286,3,7.625,3,6.888888888888889,3,6.7,3,6.363636363636363,3,6.166666666666667,3,5.923076923076923,3
674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,0.5,0.5,0.6666666666666666,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
682,0,0,0,0,0,0,0,0,0.3333333333333333,0,0.42857142857142855,0,0.5,0,0.4444444444444444,0,0.4,0,0.36363636363636365,0,0.3333333333333333,0,0.38461538461538464,0
684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685,7,7,6.666666666666667,6,5.75,5,5.6,5,5.333333333333333,4.5,5,4,4.625,4,4.222222222222222,4,4.2,4,3.909090909090909,4,3.75,3.5,3.5384615384615383,3
687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,0,0,0.3333333333333333,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
691,2,2,2.6666666666666665,3,2,2,1.6,1,1.3333333333333333,0.5,1.1428571428571428,0,1.125,0.5,1.1111111111111112,1,1,0.5,0.9090909090909091,0,0.8333333333333334,0,0.8461538461538461,0
692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.3333333333333335,0,5,0
696,0,0,0,0,0.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
698,1.5,1.5,2,2,2,2,1.8,2,2,2,2,2,1.875,2,1.8888888888888888,2,1.8,2,1.8181818181818181,2,1.6666666666666667,2,1.5384615384615385,2
