id,t1_mean,t1_median,t2_mean,t2_median,t3_mean,t3_median,t4_mean,t4_median,t5_mean,t5_median,t6_mean,t6_median,t7_mean,t7_median,t8_mean,t8_median,t9_mean,t9_median,t10_mean,t10_median,t11_mean,t11_median,t12_mean,t12_median
1009,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1014,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1111111111111111,0,NaN,NaN,0.09090909090909091,0,NaN,NaN,NaN,NaN
1028,0,0,0,0,0,0,0.2,0,0.16666666666666666,0,0.2857142857142857,0,0.375,0,0.4444444444444444,0,0.6,0.5,0.6363636363636364,1,0.5833333333333334,0.5,0.6153846153846154,1
1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,0,0,0,0,0.5,0,0.6,0,0.6666666666666666,0.5,0.5714285714285714,0,0.5,0,0.4444444444444444,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047,1.5,1.5,1.3333333333333333,1,1,0.5,0.8,0,0.8333333333333334,0.5,0.7142857142857143,0,0.625,0,0.5555555555555556,0,0.5,0,0.45454545454545453,0,0.4166666666666667,0,0.38461538461538464,0
1054,5,5,4.333333333333333,4,4.25,4,4,4,3.5,3.5,3,3,2.625,3,2.3333333333333335,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1060,0,0,0,0,0.25,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1061,0.5,0.5,0.3333333333333333,0,0.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1063,0.5,0.5,0.3333333333333333,0,0.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1071,2,2,1.3333333333333333,1,1,0.5,0.8,0,0.8333333333333334,0.5,0.7142857142857143,0,0.75,0.5,0.6666666666666666,0,0.6,0,0.5454545454545454,0,NaN,NaN,NaN,NaN
1073,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0.2857142857142857,0,0.25,0,0.2222222222222222,0,0.2,0,NaN,NaN,NaN,NaN,NaN,NaN
1078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088,0,0,0,0,0,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.15384615384615385,0
1090,0.5,0.5,0.6666666666666666,1,0.5,0.5,1,1,1,1,0.8571428571428571,1,0.75,0.5,0.6666666666666666,0,0.6,0,0.5454545454545454,0,0.5833333333333334,0,0.5384615384615384,0
1093,58,58,46.666666666666664,49,42.25,39,36.2,29,33,26.5,29,24,26.25,20.5,23.88888888888889,17,21.8,14.5,20.272727272727273,12,18.833333333333332,9.5,17.846153846153847,7
1101,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
1102,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,8,8,9.666666666666666,9,7.75,8,7.2,7,6.333333333333333,6,5.428571428571429,5,4.75,3.5,4.222222222222222,2,3.8,2,3.6363636363636362,2,3.5,2,3.3076923076923075,2
1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,0,0,0,0,0.25,0,0.8,0,0.6666666666666666,0,0.5714285714285714,0,0.5,0,0.4444444444444444,0,0.4,0,0.36363636363636365,0,0.3333333333333333,0,0.3076923076923077,0
1111,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1119,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1121,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,NaN,NaN,NaN,NaN
1122,4.5,4.5,3,0,2.25,0,2.6,0,2.5,1,2.4285714285714284,2,2.125,1,1.8888888888888888,0,1.7,0,1.6363636363636365,0,1.5,0,1.4615384615384615,0
1129,0.5,0.5,0.3333333333333333,0,0.25,0,0.2,0,0.3333333333333333,0,0.2857142857142857,0,0.375,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.25,0,0.23076923076923078,0
1136,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
1141,1,1,0.6666666666666666,1,0.5,0.5,0.6,1,0.5,0.5,0.42857142857142855,0,0.5,0.5,0.4444444444444444,0,0.4,0,0.36363636363636365,0,0.3333333333333333,0,0.3076923076923077,0
1142,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN
1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,27,27,30.333333333333332,37,33.25,38,29.6,37,27.833333333333332,28,26.714285714285715,20,24.75,19.5,23,19,21.2,17,19.545454545454547,15,18.166666666666668,15,17.076923076923077,15
1151,0.5,0.5,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.15384615384615385,0
1164,2.5,2.5,3,4,2.25,2,1.8,0,1.6666666666666667,0.5,1.4285714285714286,0,1.25,0,1.1111111111111112,0,1,0,0.9090909090909091,0,0.8333333333333334,0,0.7692307692307693,0
1167,0.5,0.5,0.3333333333333333,0,0.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1176,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1178,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0.375,0,0.4444444444444444,0,0.6,0,0.8181818181818182,0,1,0.5,1.3076923076923077,1
1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.15384615384615385,0
1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,0,0,0,0,0,0,0.6,0,0.8333333333333334,0,0.7142857142857143,0,0.625,0,0.5555555555555556,0,0.5,0,0.45454545454545453,0,0.4166666666666667,0,0.38461538461538464,0
1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0.07692307692307693,0
1222,0,0,1,0,1.25,1,1.2,1,1.5,1.5,1.2857142857142858,1,1.125,0.5,1,0,0.9,0,0.8181818181818182,0,0.75,0,0.7692307692307693,0
1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1272,1,1,1.3333333333333333,2,1,1,1,1,0.8333333333333334,0.5,0.7142857142857143,0,0.625,0,0.7777777777777778,0,0.9,0.5,0.9090909090909091,1,0.8333333333333334,0.5,0.7692307692307693,0
1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277,0.5,0.5,1.3333333333333333,1,1.5,1.5,1.2,1,1,0.5,0.8571428571428571,0,0.75,0,0.7777777777777778,0,0.8,0.5,0.8181818181818182,1,0.8333333333333334,1,0.8461538461538461,1
1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0
1286,0.5,0.5,0.3333333333333333,0,0.25,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1289,0,0,0.6666666666666666,0,0.5,0,0.6,0,0.8333333333333334,0.5,0.7142857142857143,0,0.625,0,0.5555555555555556,0,0.5,0,0.45454545454545453,0,0.4166666666666667,0,0.38461538461538464,0
1323,32.5,32.5,24.666666666666668,12,20.5,10.5,17.4,9,15,8.5,13.714285714285714,8,12.375,7,11.333333333333334,6,10.3,5.5,9.363636363636363,5,8.583333333333334,4,7.923076923076923,3
1329,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0,1,0,1,0,1.3,0,1.2727272727272727,0,1.25,0.5,1.3076923076923077,1
1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1351,0,0,0,0,0.25,0,0.8,0,0.8333333333333334,0.5,1.1428571428571428,1,1.125,1,1.3333333333333333,1,1.2,1,1.0909090909090908,1,1,0.5,0.9230769230769231,0
1352,0,0,0,0,0.25,0,0.6,0,0.8333333333333334,0.5,0.7142857142857143,0,0.625,0,0.5555555555555556,0,0.5,0,0.45454545454545453,0,0.4166666666666667,0,0.38461538461538464,0
1353,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1359,90.5,90.5,88.66666666666667,85,73.75,77.5,66,70,62,56,57.42857142857143,42,51.5,38.5,46.333333333333336,35,42.7,32.5,39.27272727272727,30,36.916666666666664,29.5,34.53846153846154,29
1361,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.25,0,0.23076923076923078,0
1363,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365,0,0,0,0,0,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,NaN,NaN,NaN,NaN
1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1371,0,0,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
1380,0,0,0.3333333333333333,0,0.25,0,0.4,0,0.3333333333333333,0,0.2857142857142857,0,0.25,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
1385,3,3,2,2,2.5,3,2,2,2,2,1.8571428571428572,2,1.625,1.5,1.4444444444444444,1,1.3,0.5,1.2727272727272727,1,1.1666666666666667,0.5,1.1538461538461537,1
1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1395,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1396,4.5,4.5,3,2,2.25,1,1.8,0,1.5,0,1.2857142857142858,0,1.25,0,1.2222222222222223,0,1.2,0.5,1.1818181818181819,1,1.25,1,1.2307692307692308,1
1403,9.5,9.5,8.666666666666666,7,7.75,7,7,7,6.5,6,8.142857142857142,7,7.75,6,7.444444444444445,5,6.9,5,6.636363636363637,5,6.083333333333333,5,5.615384615384615,5
1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,1,1,1.3333333333333333,2,1,1,0.8,0,0.6666666666666666,0,0.5714285714285714,0,0.5,0,0.4444444444444444,0,0.5,0,0.5454545454545454,0,0.5833333333333334,0,0.5384615384615384,0
1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0.07692307692307693,0
1412,12.5,12.5,8.666666666666666,5,7.75,5,8.4,5,8.333333333333334,6.5,7.428571428571429,5,6.875,5,6.222222222222222,5,5.8,4,5.545454545454546,3,5.166666666666667,3,5,3
1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
1415,0,0,0,0,0,0,0,0,0.6666666666666666,0,0.5714285714285714,0,0.625,0,0.5555555555555556,0,1,0,1,0,1,0,1,0
1416,8,8,6,2,4.5,2,3.6,2,3,1,2.5714285714285716,0,2.25,0,2,0,1.8,0,1.6363636363636365,0,1.5,0,1.4615384615384615,0
1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.15384615384615385,0
1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1429,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
1438,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.16666666666666666,0,0.15384615384615385,0
1441,1,1,0.6666666666666666,1,0.75,1,0.8,1,0.6666666666666666,1,0.5714285714285714,1,0.625,1,0.5555555555555556,1,0.5,0.5,0.45454545454545453,0,0.4166666666666667,0,0.38461538461538464,0
1445,1.5,1.5,1.3333333333333333,1,1,0.5,0.8,0,0.8333333333333334,0.5,1,1,1,1,1.2222222222222223,1,1.2,1,1.1818181818181819,1,1.3333333333333333,1,1.2307692307692308,1
1446,2.5,2.5,4,4,3.5,3,2.8,2,2.5,1.5,2.2857142857142856,1,2,1,2,1,2,1.5,1.9090909090909092,1,1.8333333333333333,1,1.6923076923076923,1
1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1452,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0.375,0,0.4444444444444444,0,0.4,0,0.36363636363636365,0,0.3333333333333333,0,0.38461538461538464,0
1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1456,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,1,0,1,0,1,0,1,0,1.1666666666666667,0.5,1.3076923076923077,1
1461,3,3,2.3333333333333335,1,2.25,1.5,1.8,1,1.6666666666666667,1,2.2857142857142856,1,2.375,1.5,2.5555555555555554,2,2.5,2,2.6363636363636362,2,2.8333333333333335,2.5,2.6153846153846154,2
1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
1470,0.5,0.5,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
1472,0.5,0.5,0.3333333333333333,0,0.25,0,0.4,0,0.5,0.5,0.5714285714285714,1,0.625,1,0.5555555555555556,1,0.6,1,0.5454545454545454,1,0.5,0.5,0.46153846153846156,0
1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1498,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.2222222222222222,0,0.6,0,0.5454545454545454,0,0.6666666666666666,0,1.1538461538461537,0
1499,0.5,0.5,0.6666666666666666,1,1,1,0.8,1,0.8333333333333334,1,0.7142857142857143,1,0.625,0.5,0.5555555555555556,0,0.5,0,0.45454545454545453,0,0.4166666666666667,0,0.6153846153846154,0
1502,12.5,12.5,8.666666666666666,8,6.5,4.5,5.2,1,4.333333333333333,0.5,3.857142857142857,1,3.375,0.5,3.111111111111111,1,2.8,0.5,2.5454545454545454,0,2.4166666666666665,0.5,2.230769230769231,0
1503,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.6666666666666666,0,0.6,0,0.8181818181818182,0,0.8333333333333334,0,0.7692307692307693,0
1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0
1505,5,5,3.6666666666666665,4,3.25,3,2.6,2,2.1666666666666665,1.5,1.8571428571428572,1,1.625,0.5,1.4444444444444444,0,1.3,0,1.1818181818181819,0,1.0833333333333333,0,1,0
1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,0.5,0.5,1,1,0.75,0.5,0.6,0,0.5,0,0.42857142857142855,0,0.375,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.25,0,NaN,NaN
1508,3.5,3.5,5.666666666666667,5,5.25,4.5,5.2,5,5.166666666666667,5,5,5,4.625,4.5,4.222222222222222,4,3.8,4,3.8181818181818183,4,3.8333333333333335,4,3.6923076923076925,4
1510,3,3,3,3,2.25,2,1.8,1,1.5,0.5,1.2857142857142858,0,1.125,0,1.2222222222222223,0,1.1,0,1,0,0.9166666666666666,0,0.8461538461538461,0
1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1515,0.5,0.5,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.42857142857142855,0,0.375,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.25,0,0.23076923076923078,0
1517,0.5,0.5,0.3333333333333333,0,0.25,0,0.2,0,0.16666666666666666,0,0.2857142857142857,0,0.25,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
1519,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1520,1,1,1.6666666666666667,2,1.5,1.5,1.2,1,1.5,1.5,1.4285714285714286,1,1.375,1,1.3333333333333333,1,1.2,1,1.0909090909090908,1,1,1,0.9230769230769231,1
1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1527,0,0,0,0,0,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.16666666666666666,0,0.23076923076923078,0
1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1530,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1534,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
1540,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1544,18,18,13.333333333333334,15,11.25,10,9.6,5,8.333333333333334,4.5,7.857142857142857,5,8.375,5,8.444444444444445,5,7.7,5,7.181818181818182,5,6.75,4.5,6.384615384615385,4
1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.15384615384615385,0
1549,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1558,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1561,1,1,0.6666666666666666,0,1.25,1,1,0,0.8333333333333334,0,0.7142857142857143,0,0.75,0,0.7777777777777778,0,0.8,0.5,0.7272727272727273,0,0.6666666666666666,0,0.6153846153846154,0
1562,0.5,0.5,1.3333333333333333,1,1.5,1.5,1.4,1,1.3333333333333333,1,1.1428571428571428,1,1,1,0.8888888888888888,1,0.8,0.5,0.7272727272727273,0,0.75,0.5,0.6923076923076923,0
1563,0.5,0.5,0.3333333333333333,0,0.5,0.5,0.4,0,0.3333333333333333,0,0.2857142857142857,0,0.25,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
1565,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1570,3.5,3.5,2.3333333333333335,0,1.75,0,2,0,1.8333333333333333,0.5,2.7142857142857144,1,2.375,0.5,2.111111111111111,0,1.9,0,2,0,1.8333333333333333,0,2,0
1571,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
1585,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1590,0,0,0,0,0,0,0.6,0,0.6666666666666666,0,0.5714285714285714,0,0.5,0,0.4444444444444444,0,0.4,0,0.5454545454545454,0,0.5833333333333334,0,0.5384615384615384,0
1593,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1594,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1595,7.5,7.5,5,3,4,2,3.6,2,3,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7692307692307692,1
1598,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0.125,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.25,0,0.23076923076923078,0
1602,0,0,0,0,0.25,0,0.2,0,0.16666666666666666,0,0.14285714285714285,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
1605,0,0,1.3333333333333333,0,1,0,0.8,0,0.8333333333333334,0,0.7142857142857143,0,0.625,0,0.5555555555555556,0,0.5,0,0.45454545454545453,0,0.4166666666666667,0,0.38461538461538464,0
1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
1608,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.1111111111111111,0,0.1,0,0.09090909090909091,0,0.08333333333333333,0,0.07692307692307693,0
1609,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0.07692307692307693,0
1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615,0,0,0,0,0,0,0.4,0,0.5,0,0.42857142857142855,0,0.375,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.25,0,0.23076923076923078,0
1617,0.5,0.5,0.6666666666666666,1,0.75,1,0.6,1,0.5,0.5,0.42857142857142855,0,0.375,0,0.3333333333333333,0,0.3,0,0.2727272727272727,0,0.25,0,0.23076923076923078,0
1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1625,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629,0,0,0,0,0.25,0,0.4,0,0.3333333333333333,0,0.2857142857142857,0,0.25,0,0.2222222222222222,0,0.2,0,0.18181818181818182,0,0.16666666666666666,0,0.15384615384615385,0
