page,count
liste-der-häufigen-vornamen-2016,466.8333333333333
liste-der-häufigen-vornamen-2017,424.6
liste-der-häufigen-vornamen-2014,200.4
geometrien-der-wahlbezirke-für-die-bundestagswahl-berlin-2017,166
baumbestand-berlin-wms,132
denkmalkarte-berlin-wms,109
openstreetmap-daten-für-berlin,100.34920634920636
vbb-fahrplandaten-mitte-mai-2018-bis-mitte-dezember-2018,95
einwohnerinnen-und-einwohner-den-ortsteilen-berlins-am-31122017,77
kleingartenbestand-berlin-wms,66
