,ministry,absolute,percentage,ministry_en
0,Sen. Stadtentwicklung & Umwelt (WP17),2282,24.5%,"Sen. Urban Development & Environment (WP17)"
1,Sen. Inneres & Sport,1983,21.2%,"Sen. Domestic Affairs & Sports"
2,"Sen. Bildung, Jugend & Wissenschaft (WP17)",1653,17.7%,"Sen. Education, Youth & Family (WP17)"
3,Sen. Gesundheit & Soziales (WP17),905,9.7%,"Sen. Health & Social Affairs (WP17)"
4,Sen. Finanzen,537,5.8%,"Sen. Finance"
5,"Sen. Justiz, Verbraucherschutz & Antidiskriminierung",511,5.5%,"Sen. Justice, Consumer Protection & Anti-discrimination"
6,"Regierender Bürgermeister",487,5.2%,"Governing Mayor"
7,"Sen. Arbeit, Integration & Frauen (WP17)",405,4.3%,"Sen. Labor, Integration & Women"
8,"Sen. Wirtschaft, Technolgie & Forschung (WP17)",360,3.9%,"Sen. Economics, Technology & Research (WP17)"
9,Sonstige,209,2.2%,"Other"
