jahr,geber,politikbereich,betrag,plz,name,zweck,empfaengertyp,empfaengerid
2016,28,28,2400,62,1366,8496,15,5364
2016,28,28,2240,62,1366,8497,15,5364
2016,28,28,2400,62,1366,8498,15,5364
2016,28,28,8000,347,1367,24358,15,3198
2012,28,28,20000,275,1368,11011,15,3871
2016,28,28,68110,275,1368,11456,15,3871
2010,29,28,93930,275,1368,17695,15,3871
2013,28,28,546860,275,1453,17695,15,5366
2010,29,28,20120,145,1454,17695,00,6103
2012,16,02,1558,160,1455,2689,15,4876
2013,16,02,5078,160,1455,2689,15,4876
2014,16,02,3156,160,1455,2689,15,4876
2011,30,20,5000,160,1455,32732,15,4876
2013,17,14,15000,172,1456,28440,15,5447
2014,17,14,25000,172,1456,28440,15,5447
2016,17,14,36000,79,1456,28439,15,5447
2010,29,28,1349754,10,8198,33570,00,6103
2011,22,21,1105,79,1457,19542,00,6103
2012,22,21,1105,79,1457,19542,00,6103
2015,28,28,5950,374,8199,14935,15,4656
2014,30,17,291790,288,1458,21911,15,3454
2013,14,06,2500,288,1458,6844,15,3454
2013,14,06,2500,288,1458,26035,15,3454
2012,15,06,10000,288,1458,24726,15,3454
2012,17,14,38275,288,1458,11594,15,3454
2012,17,14,94935,288,1458,17513,15,3454
2013,17,14,38275,288,1458,11594,15,3454
2013,17,14,94934,288,1458,17513,15,3454
2014,17,14,134275,288,1458,14471,15,3454
2015,17,14,135352,288,1458,14471,15,3454
2016,17,14,137789,288,1458,14471,15,3454
2009,18,14,37188,288,1458,11594,15,3454
2009,18,14,92700,288,1458,17513,15,3454
2010,18,14,38275,288,1458,11594,15,3454
2010,18,14,94935,288,1458,17513,15,3454
2011,18,14,38275,288,1458,11594,15,3454
2011,18,14,94935,288,1458,17513,15,3454
2012,28,28,48200,159,1369,17695,15,3652
2015,16,02,26516,215,1452,6488,15,3237
2015,16,02,42833,215,1452,6493,15,3237
2015,16,02,27916,215,1452,12627,15,3237
2016,16,02,5211,215,1452,6488,15,3237
2016,16,02,45675,215,1452,6467,15,3237
2016,16,02,32248,215,1452,6575,15,3237
2016,16,02,43483,215,1452,19598,15,3237
2012,16,02,7200,215,1452,7906,15,3237
2012,16,02,26916,215,1452,26901,15,3237
2012,16,02,100656,215,1452,27488,15,3237
2013,16,02,161500,215,1452,26901,15,3237
2013,16,02,139760,215,1452,27488,15,3237
2014,16,02,66353,215,1452,6467,15,3237
2014,16,02,50350,215,1452,27488,15,3237
2009,23,02,7500,215,1452,71,15,3237
2009,23,02,1916,215,1452,282,15,3237
2009,23,02,1373,215,1452,7905,15,3237
2009,23,02,2350,215,1452,7906,15,3237
2009,23,02,1323,215,1452,8193,15,3237
2009,23,02,5572,215,1452,15953,15,3237
2009,23,02,4401,215,1452,22632,15,3237
2009,23,02,1225,215,1452,28749,15,3237
2009,23,02,23400,215,1452,29466,15,3237
2010,23,02,3000,215,1452,71,15,3237
2010,23,02,22364,215,1452,7314,15,3237
2010,23,02,65100,215,1452,7906,15,3237
2010,23,02,300,215,1452,22632,15,3237
2011,23,02,121122,215,1452,26901,15,3237
2016,28,28,20000,134,8200,24346,15,5065
2016,28,28,20000,134,8200,29861,15,5065
2014,27,05,42016,22,1459,26358,15,3531
2015,27,05,42016,22,1459,26451,15,3531
2014,30,05,103700,22,1459,21733,15,3531
2012,16,02,32916,135,1460,1815,15,4819
2012,16,02,33266,135,1460,1833,15,4819
2012,16,02,36651,135,1460,3003,15,4819
2012,16,02,36272,135,1460,3004,15,4819
2012,16,02,35472,135,1460,3005,15,4819
2012,16,02,34985,135,1460,3006,15,4819
2012,16,02,34360,135,1460,3007,15,4819
2012,16,02,7561,135,1460,6668,15,4819
2012,16,02,26616,135,1460,6671,15,4819
2012,16,02,26640,135,1460,6746,15,4819
2012,16,02,25440,135,1460,6747,15,4819
2012,16,02,10279,135,1460,12826,15,4819
2012,16,02,27921,135,1460,12827,15,4819
2012,16,02,6194,135,1460,12856,15,4819
2012,16,02,28972,135,1460,12872,15,4819
2012,16,02,25970,135,1460,12873,15,4819
2012,16,02,27254,135,1460,12874,15,4819
2012,16,02,27440,135,1460,12875,15,4819
2012,16,02,2122,135,1460,17283,15,4819
2012,16,02,30073,135,1460,17473,15,4819
2012,16,02,25813,135,1460,17474,15,4819
2012,16,02,27101,135,1460,18283,15,4819
2012,16,02,26383,135,1460,18284,15,4819
2012,16,02,7180,135,1460,18286,15,4819
2012,16,02,27950,135,1460,18288,15,4819
2012,16,02,28983,135,1460,18289,15,4819
2012,16,02,9593,135,1460,18290,15,4819
2012,16,02,12312,135,1460,18349,15,4819
2012,16,02,2122,135,1460,19557,15,4819
2012,16,02,12314,135,1460,26905,15,4819
2012,16,02,6300,135,1460,31491,15,4819
2013,16,02,44040,200,1460,1811,15,4819
2013,16,02,44040,200,1460,1812,15,4819
2013,16,02,44040,200,1460,1818,15,4819
2013,16,02,44040,200,1460,1819,15,4819
2013,16,02,32932,200,1460,6590,15,4819
2013,16,02,37020,200,1460,6746,15,4819
2013,16,02,37020,200,1460,6747,15,4819
2013,16,02,31200,200,1460,12826,15,4819
2013,16,02,37200,200,1460,12871,15,4819
2013,16,02,37200,200,1460,12883,15,4819
2013,16,02,5146,200,1460,14763,15,4819
2013,16,02,6000,200,1460,15301,15,4819
2013,16,02,7719,200,1460,17283,15,4819
2013,16,02,37200,200,1460,17473,15,4819
2013,16,02,2600,200,1460,17474,15,4819
2013,16,02,88080,200,1460,33408,15,4819
2013,16,02,88080,200,1460,33409,15,4819
2013,16,02,31200,200,1460,18283,15,4819
2013,16,02,37200,200,1460,18285,15,4819
2013,16,02,31200,200,1460,18286,15,4819
2013,16,02,56607,200,1460,18753,15,4819
2013,16,02,11720,200,1460,19437,15,4819
2013,16,02,5146,200,1460,19556,15,4819
2013,16,02,7719,200,1460,19557,15,4819
2014,16,02,30804,200,1460,1810,15,4819
2014,16,02,28950,200,1460,1817,15,4819
2014,16,02,45391,200,1460,1825,15,4819
2014,16,02,27106,200,1460,11952,15,4819
2014,16,02,88798,200,1460,12066,15,4819
2014,16,02,7228,200,1460,12392,15,4819
2014,16,02,9954,200,1460,12555,15,4819
2014,16,02,6792,200,1460,12624,15,4819
2014,16,02,428,200,1460,14709,15,4819
2014,16,02,4388,200,1460,14763,15,4819
2014,16,02,416,200,1460,17283,15,4819
2014,16,02,53390,200,1460,33408,15,4819
2014,16,02,58364,200,1460,33409,15,4819
2014,16,02,3050,200,1460,18753,15,4819
2014,16,02,3750,200,1460,19128,15,4819
