id,label
8087,"abw gGmbH, abw-gemeinnützige Gesellschaft für Arbeit, Bildung und Wohnen mbH"
261,Acar & Batur Lebensmittel OHG
1793,Deutsche Akademie der Technikwissenschaften e. V. (acatech)
98,ACC Berlin Konferenz Betriebs GmbH
262,Accelero Bioanalytics GmbH
99,ACE - Auto Club Europa e. V.
100,ACE Auto Club Europa e. V.
8088,aceteam Berlin GmbH
263,Achim Freyer Stiftung
264,Achinger GmbH
101,ACI Analytical Control Instruments GmbH
265,Ackerdemia
102,ACRIBA gGmbH Qualifizierung und Ausbildung
8089,acrolinx GmbH
5054,Mitspielgelegenheit e. V.
266,Active Space Technologies GmbH
103,ADAC Berlin - Brandenburg e. V.
106,ADAC Berlin – Brandenburg e. V.
104,ADAC Berlin Brandenburg
105,ADAC Berlin Brandenburg e. V.
107,ADAKOM GmbH Angewandte Daten- und Kommunikationssysteme
108,ADAKOM GmbH AngewandteDaten- und Kommunikationssysteme
267,AdClear GmbH
109,ADFB GmbH Berlin
110,"ADFC Allgemeiner Deutscher Fahrrad Club, Landesverband Berlin e. V."
111,ADFC Fahrrad Club Berlin
268,AdGibbon UG (haftungsbeschränkt)
8090,adjust GmbH
270,Adlershof Projekt GmbH
272,Adlershofer Ballspiel Club 1908 e. V.
273,Adlershofer Ballspiel Club 1908 e. V. (ABC 08)
271,Adlershofer Ball-Spiel-Club 1908 e. V. Vorstand
274,Adlershofer Gymnastik Club 2006 e. V.
275,Adlershofer Tennis-Club e. V.
276,Adlershofer Werkstätten GmbH &Co. KG
269,AdlOptica GmbH
112,ADMOS Gleitlager GmbH
277,Adomeit Group GmbH
113,ADQ Aktionszentrum für Dienstleistung und Qualifizierung gGmbH
8091,adsquare GmbH
114,ADTRAN GmbH
115,ADUNOS GmbH
116,ADV - Nokta gemeinnützige GmbH
117,ADV - Nokta gemeinützige GmbH
121,ADV gemeinnützige Verwaltungs- und Betriebs GmbH
119,ADV gGmbH
120,"ADV gGmbH, Akzeptieren, Differenzieren, Verbinden - Ges. zur Integration benachteiligter Menschen"
118,ADV Nokta gGmbH
278,Advent- Wohlfahrtswerk im Land Brandenburg
122,ADV-Nokta gGmbH
279,Aedes East - Internationales Forum für Zeitgenössische Architektur e. V.
123,"AEG SIGNUM, Gesellschaft für Berufsbildung Training u. Beratung mbH"
124,AEMtec GmbH
280,Aeria Games Europe GmbH
281,Aero Club Berlin e. V.
282,Aero-Club Berlin e. V.
283,Aerolution GmbH
125,AESD Research & Development GmbH
284,Aestas Campus Verwaltungs GmbH
8092,aexea GmbH
126,"AFB e. V., Verein zur Förderung von Arbeit, Forschung und Bildung"
387,American Football Club Berlin Adler e. V.
285,Afghanisches Kommunikations- und Kulturzentrum e. V.
127,AFH-Brauwelttechnik GmbH
288,African Union- African Diaspora Sixth Region e. V. Germany Abkürzung: AUADS
287,AfricAvenir e. V.
286,AfricAvenir International e. V.
289,Afrika Medien Zentrum e. V.
290,Afrika Rise e. V.
291,"Afrika Sport und Kultur Verein, Berlin (AFRISKO) e. V."
293,Afrikanische Ökumenische Kirche e. V.
294,Afrikanischer Muslim Kreis e. V.
292,Afrika-Rat - Dachverband afrikanischer Vereine und Initiativen Berlin-Brandenburg e. V.
128,AFS Advanced Filter Solutions GmbH
129,AFT Fertigungstechnik und Handel GmbH
130,AFW Akademie für Führungskräftefortbildung der Wirtschaft GmbH - gemeinnützig-
131,AFW Akademie für Weiterbildung GmbH
132,"AFW, Lehranstalt für Gartenbau-u. Floristik Ausbildungsförderwerk Berlin e. V."
133,AG 'offene Ateliers'
2460,Evangelischer Kirchenkreis Spandau
134,AG Dickert + Kleemann
8093,ag friedhofsmuseum berlin e. V.
135,AG Friedrichshainer und Kreuzberger Sportvereine
136,AG Gesundheit der Seniorenvertretung Treptow-Köpenick
137,AG Märkische Kleinbahn e. V.
138,AG PRO Plänterwald
139,"AG SPAS e. V., Arbeitsgemeinschaft für Sozialplanung und angewandte Stadtforschung e. V."
140,AG Wilmersdorfer Straße e. V.
141,AG5 Software GmbH
296,Agaplesion Bethanien Havelstrand
